,idTurma,matricula,ano,idAluno,notaProva1,questoesFeitasProva1,quantidadeProva1,tituloProva1,notaProva2,questoesFeitasProva2,quantidadeProva2,tituloProva2,mediaProvas,situacao,qsub1,qsub2,qsub3,qsub4,qsub5,qsubp1,qsubp2,totalsub,igualACeml123,igualACeml45
139,5add873c651f043c5772314d,2016012795.0,2018.1,5aa68f8f6a77db040b660fe2,55.0,3.0,5.0,Prova 1 - Turma 2C e 2D,95.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,75.0,1,9,12,2,6,4,23,10,33,10,8
140,5add873c651f043c5772314d,20170043492.0,2018.1,5aafc09ea7761c041bc6289a,88.0,5.0,5.0,Prova 1 - Turma 2C e 2D,0.0,0.0,0.0,0,44.0,0,2,7,3,4,5,12,9,21,12,9
141,5add873c651f043c5772314d,20170115680.0,2018.1,5ace43c6e1b024040e6845f0,100.0,5.0,5.0,Prova 1 - Turma 2C e 2D,80.0,4.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,90.0,1,13,15,15,22,15,43,37,80,36,36
142,5add873c651f043c5772314d,20170137919.0,2018.1,5aa68fd3a7761c041bc627be,68.0,5.0,5.0,Prova 1 - Turma 2C e 2D,100.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,84.0,1,2,4,6,4,9,12,13,25,12,13
143,5add873c651f043c5772314d,20170147334.0,2018.1,5a9d53506e994c04109f039c,92.0,5.0,5.0,Prova 1 - Turma 2C e 2D,95.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,93.5,1,6,11,6,5,5,23,10,33,15,8
144,5adffb9159a2a54c937079ee,20170137795.0,2018.1,5aa919fb6a77db040b661048,10.6,4.0,5.0,Prova 1 - Turma 3C e 3D,14.6,3.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,12.6,0,7,28,8,7,3,43,10,53,43,10
145,5adffb9159a2a54c937079ee,20170137795.0,2018.1,5aa919fb6a77db040b661048,10.6,4.0,5.0,Prova 1 - Turma 3C e 3D,90.0,5.0,5.0,Prova 2- 2019.1 AB,50.3,1,7,28,8,7,3,43,10,53,43,10
146,5ccc918a651f045f0190f923,20170137795.0,2019.1,5aa919fb6a77db040b661048,10.0,5.0,5.0,Prova 1 AD 2019-1,14.6,3.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,12.3,0,7,28,8,7,3,43,10,53,43,10
147,5ccc918a651f045f0190f923,20170137795.0,2019.1,5aa919fb6a77db040b661048,10.0,5.0,5.0,Prova 1 AD 2019-1,90.0,5.0,5.0,Prova 2- 2019.1 AB,50.0,1,7,28,8,7,3,43,10,53,43,10
148,5adffd8c59a2a54c937079ef,20170031114.0,2018.1,5aa91191f9299004205227ec,70.0,5.0,5.0,Prova 1 - Turma 3C e 3D,38.0,4.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,54.0,1,6,6,9,3,6,21,9,30,21,9
149,5adffd8c59a2a54c937079ef,20170114665.0,2018.1,5ab264c56a77db040b6612da,28.0,3.0,5.0,Prova 1 - Turma 3C e 3D,8.0,3.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,18.0,0,3,6,6,3,5,15,8,23,15,8
150,5adffd8c59a2a54c937079ef,20170114647.0,2018.1,5ab24cb0f9299004205229ee,68.2,5.0,5.0,Prova 1 - Turma 3C e 3D,60.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,64.1,1,1,7,6,5,2,14,7,21,14,7
151,5adffd8c59a2a54c937079ef,20170137866.0,2018.1,5ab24d0f6a77db040b66129f,28.0,5.0,5.0,Prova 1 - Turma 3C e 3D,20.0,4.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,24.0,0,3,11,12,3,8,26,11,37,26,11
152,5adffd8c59a2a54c937079ef,2016091369.0,2018.1,5a9fdce9e293ba040bc7da91,71.6,5.0,5.0,Prova 1 - Turma 3C e 3D,80.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,75.8,1,5,12,8,3,4,25,7,32,25,7
